,report_date,civic_buildings_ext_destroyed,civic_buildings_destroyed,educational_buildings_ext_destroyed,educational_buildings_ext_damaged,educational_buildings_destroyed,educational_buildings_damaged,places_of_worship_ext_mosques_destroyed,places_of_worship_ext_mosques_damaged,places_of_worship_ext_churches_destroyed,places_of_worship_mosques_destroyed,places_of_worship_mosques_damaged,places_of_worship_churches_destroyed,residential_ext_destroyed,residential_destroyed
0,2023-10-07,5,,1,15,,,2,4,0,,,,80,
1,2023-10-08,11,,1,30,,,4,8,0,,,,159,159.0
2,2023-10-09,16,,2,45,,,6,12,0,,,,790,790.0
3,2023-10-10,22,,2,60,,,8,17,0,,,,1009,1009.0
4,2023-10-11,27,27.0,3,75,3.0,75.0,10,21,0,10.0,,,2835,2835.0
5,2023-10-12,29,,3,75,3.0,75.0,10,25,0,10.0,,,4188,
6,2023-10-13,31,,9,100,,,12,29,0,,,,5540,5540.0
7,2023-10-14,33,,14,124,14.0,124.0,14,33,0,,,,7000,7000.0
8,2023-10-15,35,,14,143,14.0,143.0,16,37,0,,,,8840,8840.0
9,2023-10-16,37,,18,150,18.0,150.0,18,41,1,,,,10500,10500.0
10,2023-10-17,39,,18,153,18.0,153.0,20,46,1,,,,12000,12000.0
11,2023-10-18,41,,20,157,,,22,50,1,,,,13577,
12,2023-10-19,43,,22,160,,,24,54,1,,,,15154,
13,2023-10-20,45,,23,164,,,26,58,1,,,,16731,
14,2023-10-21,47,,25,167,,,28,62,1,,,,18308,
15,2023-10-22,49,,27,171,,,30,66,1,,,,19885,
16,2023-10-23,51,,29,174,,,32,70,1,,,,21462,
17,2023-10-24,53,,30,178,,,34,75,1,,,,23038,
18,2023-10-25,55,,32,181,,,36,79,1,,,,24615,
19,2023-10-26,57,,34,185,,,38,83,1,,,,26192,
20,2023-10-27,59,,36,188,,,39,87,1,,,,27769,
21,2023-10-28,60,,37,192,,,41,91,1,,,,29346,
22,2023-10-29,62,,39,196,,,43,95,1,,,,30923,
23,2023-10-30,64,,41,199,,,45,99,1,,,,32500,32500.0
24,2023-10-31,66,,43,203,,,47,104,1,,,,33571,
25,2023-11-01,68,,44,206,,,49,108,1,,,,34643,
26,2023-11-02,70,,46,210,,,51,112,1,,,,35714,
27,2023-11-03,72,,48,213,,,53,116,1,,,,36786,
28,2023-11-04,74,,50,217,,,55,120,2,,,,37857,
29,2023-11-05,76,,51,220,,,57,124,2,,,,38929,
30,2023-11-06,78,,53,224,,,59,128,2,,,,40000,40000.0
31,2023-11-07,80,,55,227,,,61,133,2,,,,40250,
32,2023-11-08,82,,57,231,,,63,137,2,,,,40500,
33,2023-11-09,84,,58,234,,,65,141,2,,,,40750,
34,2023-11-10,88,88.0,60,238,60.0,238.0,67,145,2,67.0,145.0,3.0,41000,41000.0
35,2023-11-11,89,,60,239,,,68,146,2,,,,41015,
36,2023-11-12,89,,61,241,,,70,148,2,,,,41030,41030.0
37,2023-11-13,90,,61,242,,,71,149,2,,,,41120,41120.0
38,2023-11-14,91,,61,243,,,72,151,2,,,,42000,42000.0
39,2023-11-15,91,,62,245,,,74,152,2,,,,42250,
40,2023-11-16,92,,62,246,,,75,154,2,,,,42500,
41,2023-11-17,93,,62,247,,,76,155,2,,,,42750,
42,2023-11-18,93,,63,249,,,78,156,2,,,,43000,43000.0
43,2023-11-19,94,,63,250,,,79,158,2,,,,43000,43000.0
44,2023-11-20,95,,63,251,,,80,159,2,,,,43000,43000.0
45,2023-11-21,96,,63,253,,,82,161,2,,,,44000,44000.0
46,2023-11-22,96,,64,254,,,83,162,2,,,,45000,45000.0
47,2023-11-23,97,,64,255,,,84,164,3,,,,46000,46000.0
48,2023-11-24,98,,64,256,,,86,165,3,,,,47000,
49,2023-11-25,98,,65,258,,,87,166,3,,,,48000,
50,2023-11-26,99,,65,259,,,89,168,3,,,,49000,
51,2023-11-27,100,,65,260,,,90,169,3,,,,50000,50000.0
52,2023-11-28,100,,66,262,,,91,171,3,,,,50000,
53,2023-11-29,101,,66,263,,,93,172,3,,,,50000,
54,2023-11-30,102,,66,264,,,94,174,3,,,,50000,50000.0
55,2023-12-01,103,103.0,67,267,,267.0,95,175,3,,175.0,,50000,50000.0
56,2023-12-02,103,,67,267,67.0,267.0,97,181,3,,181.0,3.0,50000,50000.0
