period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2007-02-05,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),PTE,Retail Sales,EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),2.379,$/GAL
2007-02-12,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),PTE,Retail Sales,EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),2.42,$/GAL
2007-03-26,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),PTE,Retail Sales,EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),2.634,$/GAL
2007-04-23,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),PTE,Retail Sales,EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),2.811,$/GAL
2007-12-31,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),PTE,Retail Sales,EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),3.272,$/GAL
2008-02-18,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),PTE,Retail Sales,EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),3.335,$/GAL
2008-05-05,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),PTE,Retail Sales,EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),4.049,$/GAL
2008-05-19,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),PTE,Retail Sales,EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),4.446,$/GAL
2008-08-04,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),PTE,Retail Sales,EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),4.395,$/GAL
2008-08-11,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),PTE,Retail Sales,EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),4.24,$/GAL
