date,duoarea_oil,area_name_oil,oil_product_code,oil_product_name,oil_series,oil_series_description,price_oil
2007-02-05,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),2.379
2007-02-12,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),2.42
2007-03-26,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),2.634
2007-04-23,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),2.811
2007-12-31,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),3.272
2008-02-18,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),3.335
2008-05-05,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),4.049
2008-05-19,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),4.446
2008-08-04,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),4.395
2008-08-11,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),4.24
2008-09-08,NUS,U.S.,EPD2DM10,No 2 Diesel Low Sulfur (15-500 ppm),EMD_EPD2DM10_PTE_NUS_DPG,U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),3.936
